"","Theme","Category","Source","Valence_mean_men","Valence_SD_men","Valence_N_men","Arousal_mean_men","Arousal_SD_men","Arousal_N_men","Valence_mean_women","Valence_SD_women","Valence_N_women","Arousal_mean_women","Arousal_SD_women","Arousal_N_women"
"I552","Nude man 13","3","Flickr/Sasha Kargaltsev","4.05172413793103","1.05001944498458","58","4.62790697674419","1.21544144075416","43","2.97959183673469","2.01545896260181","49","3.92452830188679","1.54233909027033","53"
"I553","Nude man 14","3","Flickr/See-ming Lee","3.80701754385965","1.2455434340541","57","4.94117647058824","1.36252361015701","51","2.6734693877551","1.76053679198089","49","4.61818181818182","1.68315080518551","55"
"I554","Nude man 15","3","Wikipedia","3.60344827586207","1.52107597157827","58","4.2093023255814","1.50488315532633","43","2.85714285714286","2.16986942771526","49","4.15094339622642","1.70289602211028","53"
"I555","Nude man 16","3","Flickr/David Shankbone","3.85964912280702","1.39435848653509","57","5.05882352941176","1.30248631019113","51","2.75510204081633","1.75036439354898","49","4.89090909090909","1.66302632740933","55"
"I556","Nude man 17","3","Wikipedia","3.25862068965517","1.25040828177975","58","4.34883720930233","1.44557981331981","43","2.97959183673469","2.19364418945552","49","3.92452830188679","1.82766198486328","53"
"I557","Nude man 18","3","Wikipedia","3.17543859649123","1.37740448226707","57","3.94117647058824","1.15605821143889","51","2.79591836734694","1.93627210377673","49","4.16363636363636","1.76135087428851","55"
"I558","Nude man 19","3","Wikipedia","4.45614035087719","1.10308294336821","57","5.11764705882353","1.17723504574965","51","2.85714285714286","1.73205080756888","49","4.63636363636364","1.59122171050628","55"
"I559","Nude man 20","3","Wikipedia","2.96491228070175","1.81230823892687","57","4.05882352941176","1.70190205012959","51","3.22448979591837","2.14345229830338","49","5.10909090909091","1.85265302534588","55"
"I560","Nude man 3","3","Flickr/Charles Roffey","4.13636363636364","1.06946865944293","44","4.43103448275862","1.14113007954361","58","2.80851063829787","1.87243503251016","47","3.71153846153846","1.66081173705591","52"
"I561","Nude man 21","3","Wikipedia","3.22222222222222","1.98733362812965","45","3.83928571428571","1.63792313854839","56","3.55102040816327","2.04186622653758","49","5.01923076923077","1.75443845678397","52"
"I562","Nude man 22","3","Wikipedia","4.56818181818182","1.06525959872934","44","4.98275862068965","1.03434663351205","58","3.4468085106383","1.77920977376374","47","4.38461538461539","1.61067329915828","52"
"I563","Nude man 23","3","Flickr/Sasha Kargaltsev","3.86666666666667","1.56088552955162","45","4.08928571428571","1.44318820941421","56","3.24489795918367","1.62699380562355","49","3.92307692307692","1.65501204125889","52"
"I564","Nude woman 1","3","Wikipedia","5.46551724137931","1.15797035445765","58","4.37209302325581","1.06956279038176","43","5.3469387755102","1.56193016820219","49","3.52830188679245","1.68253213004989","53"
