timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1596692431.572,-20.996,-24.414,-9.277,-29.297,0.000,0
1596692431.576,-25.391,-22.461,-14.160,-34.180,0.000,0
1596692431.580,-34.668,-27.832,-15.625,-30.273,0.000,0
1596692431.584,-35.645,-32.227,-16.113,-27.832,0.000,0
1596692431.588,-37.598,-26.855,-12.695,-40.039,0.000,0
1596692431.591,-38.574,-20.508,-13.184,-41.992,0.000,0
1596692431.595,-33.203,-31.250,-17.578,-32.715,0.000,0
1596692431.599,-31.738,-37.109,-16.602,-25.391,0.000,0
1596692431.603,-30.762,-28.320,-7.324,-35.156,0.000,0
1596692431.607,-30.762,-30.273,-4.883,-34.180,0.000,0
1596692431.611,-28.320,-33.203,-5.859,-20.996,0.000,0
1596692431.615,-23.926,-32.715,-4.395,-18.555,0.000,0
1596692431.619,-22.461,-24.414,-1.953,-23.438,0.000,0
1596692431.623,-17.578,-19.531,-4.395,-37.109,0.000,0
1596692431.627,-17.090,-23.438,-10.254,-27.344,0.000,0
1596692431.631,-22.949,-24.902,-12.207,-15.137,0.000,0
1596692431.634,-22.461,-27.344,-12.207,-25.879,0.000,0
1596692431.638,-21.484,-29.785,-10.742,-37.109,0.000,0
1596692431.642,-17.578,-27.344,-7.324,-33.691,0.000,0
1596692431.646,-16.113,-24.414,-12.695,-26.855,0.000,0
1596692431.650,-11.230,-17.578,-10.254,-34.668,0.000,0
1596692431.654,-10.254,-17.578,-4.883,-38.086,0.000,0
1596692431.658,-17.578,-23.438,-8.301,-38.574,0.000,0
1596692431.662,-11.230,-20.996,-10.254,-34.668,0.000,0
1596692431.666,-4.883,-23.926,-5.859,-23.926,0.000,0
1596692431.670,-0.977,-26.855,-4.883,-26.367,0.000,0
1596692431.673,-5.859,-30.273,-6.836,-28.809,0.000,0
1596692431.677,-11.719,-26.367,-3.418,-22.461,0.000,0
1596692431.681,-11.719,-20.996,-2.930,-17.090,0.000,0
1596692431.685,-15.137,-28.809,-10.254,-29.297,0.000,0
1596692431.689,-13.184,-31.738,-9.277,-34.668,0.000,0
1596692431.693,-20.020,-24.414,-5.859,-26.367,0.000,0
1596692431.697,-28.809,-22.949,-11.230,-22.461,0.000,0
1596692431.701,-17.090,-25.879,-8.301,-15.137,0.000,0
1596692431.705,-12.695,-22.949,-2.930,-21.484,0.000,0
1596692431.709,-15.137,-21.973,-1.465,-26.855,0.000,0
1596692431.713,-18.555,-30.762,-3.906,-23.926,0.000,0
1596692431.716,-25.391,-25.391,-3.418,-24.902,0.000,0
1596692431.720,-29.785,-20.508,0.000,-26.367,0.000,0
1596692431.724,-34.180,-21.973,-1.953,-32.227,0.000,0
1596692431.728,-31.250,-19.531,-1.953,-24.414,0.000,0
1596692431.732,-20.508,-18.555,1.465,-20.996,0.000,0
1596692431.736,-25.879,-25.879,-3.418,-30.762,0.000,2
1596692431.740,-35.156,-37.109,-11.719,-39.062,0.000,0
1596692431.744,-33.203,-38.086,-14.160,-37.109,0.000,0
1596692431.748,-25.879,-37.598,-8.301,-22.949,0.000,0
1596692431.752,-18.066,-33.203,0.488,-17.090,0.000,0
1596692431.756,-23.926,-29.785,-1.953,-29.297,0.000,0
1596692431.759,-24.902,-30.273,-7.812,-23.926,0.000,0
1596692431.763,-13.184,-27.832,-3.906,-4.883,0.000,0
1596692431.767,-8.301,-24.414,1.465,-16.113,0.000,0
1596692431.771,-17.578,-25.391,-2.930,-35.156,0.000,0
1596692431.775,-27.832,-30.762,-10.254,-31.250,0.000,0
1596692431.779,-27.832,-27.344,-10.254,-23.926,0.000,0
1596692431.783,-33.691,-28.320,-13.672,-31.738,0.000,0
1596692431.787,-32.715,-30.273,-13.672,-40.527,0.000,0
1596692431.791,-30.762,-28.809,-11.230,-34.668,0.000,0
1596692431.795,-32.715,-29.785,-10.254,-23.926,0.000,0
1596692431.798,-32.227,-22.949,-11.719,-23.926,0.000,0
1596692431.802,-32.715,-23.926,-12.695,-36.133,0.000,0
1596692431.806,-28.809,-28.809,-13.672,-36.621,0.000,0
1596692431.810,-28.809,-25.391,-17.090,-25.391,0.000,0
1596692431.814,-31.250,-20.996,-13.184,-18.066,0.000,0
1596692431.818,-27.344,-24.414,-8.301,-14.160,0.000,0
1596692431.822,-29.297,-20.996,-4.883,-18.066,0.000,0
1596692431.826,-26.855,-17.578,-6.836,-29.297,0.000,0
1596692431.830,-19.531,-20.996,-8.301,-30.762,0.000,0
1596692431.834,-22.949,-25.391,-7.812,-23.926,0.000,0
1596692431.838,-28.320,-28.320,-9.277,-34.668,0.000,0
1596692431.841,-15.625,-23.926,-8.301,-31.738,0.000,0
1596692431.845,-5.859,-20.996,-5.371,-18.066,0.000,0
1596692431.849,-16.602,-22.949,-7.812,-11.719,0.000,0
1596692431.853,-20.996,-27.832,-11.719,-14.648,0.000,0
1596692431.857,-20.508,-29.785,-7.812,-26.367,0.000,0
1596692431.861,-17.090,-23.926,-0.977,-17.578,0.000,0
1596692431.865,-9.766,-25.391,-5.371,-9.766,0.000,0
1596692431.869,-8.789,-26.367,-8.789,-15.625,0.000,0
1596692431.873,-15.625,-22.949,-6.348,-29.297,0.000,0
1596692431.877,-18.066,-21.484,-4.395,-30.762,0.000,0
1596692431.881,-9.277,-19.531,-7.812,-13.672,0.000,0
1596692431.884,-10.254,-21.973,-13.184,-15.625,0.000,0
1596692431.888,-22.949,-25.391,-16.113,-37.109,0.000,0
1596692431.892,-21.973,-24.414,-17.090,-32.715,0.000,0
1596692431.896,-9.766,-25.879,-12.695,-9.277,0.000,0
1596692431.900,-7.324,-29.785,-13.184,-17.090,0.000,0
1596692431.904,-16.602,-26.855,-10.742,-35.156,0.000,0
1596692431.908,-17.090,-24.414,-3.906,-29.785,0.000,0
1596692431.912,-19.531,-28.809,-6.836,-19.531,0.000,0
1596692431.916,-34.668,-30.762,-12.207,-23.926,0.000,0
1596692431.920,-39.551,-26.855,-10.742,-35.645,0.000,0
1596692431.923,-37.109,-31.738,-13.184,-37.598,0.000,0
1596692431.927,-27.344,-30.762,-14.160,-24.414,0.000,0
1596692431.931,-26.367,-33.203,-13.184,-17.578,0.000,0
1596692431.935,-35.645,-35.156,-13.672,-29.785,0.000,0
1596692431.939,-37.109,-28.809,-13.672,-31.250,0.000,0
1596692431.943,-35.645,-33.691,-10.742,-24.414,0.000,0
1596692431.947,-33.691,-37.109,-4.395,-19.531,0.000,0
1596692431.951,-33.691,-32.715,2.441,-16.602,0.000,0
1596692431.955,-38.086,-36.133,0.488,-24.414,0.000,0
1596692431.959,-28.320,-38.574,-6.348,-14.160,0.000,0
1596692431.963,-12.695,-31.738,-5.371,3.906,0.000,0
1596692431.966,-8.789,-28.320,0.000,1.465,0.000,0
1596692431.970,-26.855,-25.391,-0.977,-24.414,0.000,0
1596692431.974,-30.273,-22.949,-4.883,-32.227,0.000,0
1596692431.978,-6.836,-25.879,-4.883,-17.090,0.000,0
1596692431.982,-2.930,-24.902,-0.977,-12.695,0.000,0
1596692431.986,-14.648,-25.879,3.906,-12.207,0.000,0
1596692431.990,-11.230,-31.250,-9.277,-8.789,0.000,0
1596692431.994,-4.395,-35.645,-16.602,-10.742,0.000,0
1596692431.998,-5.371,-37.598,-14.648,-8.789,0.000,0
1596692432.002,-2.441,-35.156,-16.602,-2.930,0.000,0
1596692432.006,-5.371,-30.762,-17.578,-15.137,0.000,0
1596692432.009,-9.277,-24.902,-14.648,-20.508,0.000,0
1596692432.013,-5.859,-26.855,-16.113,-11.230,0.000,0
1596692432.017,-7.324,-33.691,-16.602,-8.301,0.000,0
1596692432.021,-3.418,-31.738,-12.695,-14.160,0.000,0
1596692432.025,-8.301,-25.391,-16.113,-18.555,0.000,0
1596692432.029,-15.137,-29.297,-17.578,-8.301,0.000,0
1596692432.033,-16.113,-35.156,-12.207,-4.395,0.000,0
1596692432.037,-23.438,-31.738,-13.672,-24.414,0.000,0
1596692432.041,-20.508,-28.320,-19.531,-27.832,0.000,0
1596692432.045,-7.324,-26.367,-17.090,-12.207,0.000,0
1596692432.048,0.000,-26.367,-9.277,-13.672,0.000,0
1596692432.052,-6.348,-26.855,-5.371,-15.137,0.000,0
1596692432.056,-16.602,-22.949,-5.371,-16.113,0.000,0
1596692432.060,-19.531,-19.043,-8.301,-11.719,0.000,0
1596692432.064,-25.879,-25.391,-8.301,-10.742,0.000,0
1596692432.068,-30.273,-20.996,-3.906,-20.020,0.000,0
1596692432.072,-29.785,-16.113,-9.766,-32.227,0.000,0
1596692432.076,-31.738,-28.809,-15.625,-36.133,0.000,0
1596692432.080,-27.832,-36.133,-13.184,-25.879,0.000,0
1596692432.084,-28.809,-38.574,-14.160,-30.762,0.000,0
1596692432.088,-37.109,-42.969,-19.531,-41.504,0.000,0
1596692432.091,-36.133,-41.992,-20.020,-26.855,0.000,0
1596692432.095,-28.320,-39.062,-16.113,-8.301,0.000,0
1596692432.099,-27.832,-35.156,-15.625,-26.855,0.000,0
1596692432.103,-27.344,-32.227,-14.648,-38.574,0.000,0
1596692432.107,-22.461,-30.762,-15.625,-35.156,0.000,0
1596692432.111,-28.320,-34.668,-19.531,-33.203,0.000,0
1596692432.115,-29.785,-29.785,-19.043,-31.738,0.000,0
1596692432.119,-20.508,-26.367,-17.578,-37.598,0.000,0
1596692432.123,-19.043,-26.367,-16.113,-39.551,0.000,0
1596692432.127,-32.715,-26.367,-16.113,-27.344,0.000,0
1596692432.131,-31.250,-28.809,-15.137,-20.020,0.000,0
1596692432.134,-23.926,-27.832,-8.789,-21.484,0.000,0
1596692432.138,-27.832,-28.320,-4.395,-23.926,0.000,0
1596692432.142,-29.297,-24.902,-2.930,-25.879,0.000,0
1596692432.146,-20.996,-27.344,-0.977,-21.484,0.000,0
1596692432.150,-17.090,-28.809,-1.465,-29.785,0.000,0
1596692432.154,-28.809,-27.832,-8.301,-41.016,0.000,0
1596692432.158,-32.227,-26.855,-6.348,-35.156,0.000,0
1596692432.162,-25.879,-23.926,-4.883,-30.273,0.000,0
1596692432.166,-25.879,-27.832,-11.719,-33.203,0.000,0
1596692432.170,-34.180,-26.367,-8.789,-32.227,0.000,0
1596692432.173,-35.156,-23.438,-1.465,-29.297,0.000,0
1596692432.177,-33.691,-28.320,-0.977,-28.320,0.000,0
1596692432.181,-27.344,-35.645,-5.371,-28.320,0.000,0
1596692432.185,-27.344,-30.273,-9.277,-32.715,0.000,0
1596692432.189,-30.762,-24.902,-10.742,-38.574,0.000,0
1596692432.193,-25.391,-24.902,-11.230,-34.668,0.000,0
1596692432.197,-23.438,-28.320,-15.625,-21.973,0.000,0
1596692432.201,-18.555,-29.297,-11.230,-25.391,0.000,0
1596692432.205,-30.273,-27.344,-5.859,-44.922,0.000,0
1596692432.209,-41.992,-34.668,-8.789,-44.922,0.000,0
1596692432.213,-38.086,-40.527,-9.277,-30.762,0.000,0
1596692432.216,-40.527,-42.480,-8.301,-28.809,0.000,0
1596692432.220,-41.504,-43.945,-10.254,-42.969,0.000,0
1596692432.224,-38.086,-38.086,-13.184,-47.363,0.000,0
1596692432.228,-34.668,-33.203,-9.277,-34.180,0.000,0
1596692432.232,-37.109,-37.598,-11.230,-33.203,0.000,0
1596692432.236,-36.133,-39.551,-8.789,-38.086,0.000,0
1596692432.240,-31.738,-45.410,-8.301,-36.621,0.000,0
1596692432.244,-23.438,-42.480,-12.207,-30.273,0.000,0
1596692432.248,-23.438,-30.762,-6.348,-31.250,0.000,0
1596692432.252,-30.273,-29.297,-4.395,-33.691,0.000,0
1596692432.256,-30.762,-30.762,-9.766,-33.203,0.000,0
1596692432.259,-21.973,-26.855,-5.859,-26.367,0.000,0
1596692432.263,-11.719,-22.949,3.418,-14.648,0.000,0
1596692432.267,-15.625,-27.344,-2.441,-26.367,0.000,0
1596692432.271,-26.855,-27.344,-11.230,-44.922,0.000,0
1596692432.275,-28.320,-24.902,-12.695,-41.016,0.000,0
1596692432.279,-22.949,-25.879,-13.672,-29.785,0.000,0
1596692432.283,-29.785,-27.344,-13.184,-31.250,0.000,0
